	both_popular_all_old	both_popular_all_recent	both_viral_all_old	both_viral_all_recent	both_viral_and_popular_all_old	both_viral_and_popular_all_recent	youtube_popular_all_old	youtube_popular_all_recent	youtube_viral_all_old	youtube_viral_all_recent	youtube_viral_and_popular_all_old	youtube_viral_and_popular_all_recent
ratioLikes_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioLikes_2	2.328212	1.038942	1.088486	3.330439	1.518021	0.459847	2.506651	2.918008	4.950633	3.183546	1.201621	1.316784
ratioOrigTweets_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioOrigTweets_2	0.0	2.502433	0.358166	1.840878	1.187113	0.91916	1.970612	6.610359	0.901856	5.590663	2.083625	4.62038
ratioRetweets_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioRetweets_2	0.0	0.81412	0.0	0.807125	0.466414	0.218657	1.307976	4.378809	0.330525	3.035857	0.02453	4.237139
ratioTwEn_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioTwEn_2	0.720748	0.485371	0.225917	0.203484	1.499728	1.140984	1.811263	0.76147	0.248521	1.234713	2.893748	1.905136
ratioTwSp_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioTwSp_2	0.0	0.0	0.0	0.446985	0.254234	0.235879	0.0	0.376097	0.127469	2.060652	0.0	0.843286
ratioTweets_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioTweets_2	0.015919	1.190005	1.539084	1.158936	2.995055	1.845815	0.965655	3.561616	4.793265	5.957546	5.027118	5.306515
ratioUserEng_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioUserEng_2	0.192523	1.204	0.905694	0.494141	2.886957	0.595698	2.666533	0.243827	0.324158	1.943142	4.947687	1.450848
ratioUserFavorites_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioUserFavorites_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioUserSp_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioUserSp_2	0.0	0.112365	0.023081	0.261683	0.192099	0.386186	0.0	0.591391	0.109257	1.210983	0.0	1.090546
ratioUserStatuses_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioUserStatuses_2	0.018169	0.840181	4.03858	4.404421	1.27699	4.307995	9.971139	5.693389	4.309742	6.21714	11.903722	4.642551
ratioViews_1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ratioViews_2	0.058331	3.09419	2.351913	2.546954	3.163776	0.762975	0.314739	2.907412	4.874647	4.115087	2.143735	0.732777
tw_eng_1	0.0	0.028833	0.149082	0.49225	0.301203	2.121124	0.979501	0.562756	0.791841	0.878307	2.182059	3.586134
tw_eng_2	0.065643	0.0	0.417955	0.342437	0.580646	0.470454	0.177054	1.147813	0.160445	0.27645	0.319299	0.656852
tw_eng_acc	0.01387	0.102308	0.616823	0.46488	1.134751	0.664064	1.729661	2.223047	0.382802	0.74534	3.225652	3.527658
tw_eng_dif	0.007685	0.1997	0.225178	0.232962	0.38631	0.53125	0.232643	0.175912	0.34732	0.10172	0.740245	1.503431
tw_hashtags_1	0.073096	0.0	0.068504	0.21759	0.0	0.0	0.0	0.0	0.0	1.188399	0.153447	0.243632
tw_hashtags_2	0.0	0.0	0.0	0.028685	0.0	0.0	0.0	0.114182	0.0	0.036921	0.0	0.634683
